Id,fixed acidity,residual sugar,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,cluster
0,7.4,1.9,11.0,34.0,0.9978,3.51,0.56,9.4,5,Raiz
1,7.8,2.6,25.0,67.0,0.9968,3.2,0.68,9.8,5,Raiz
2,7.8,2.3,15.0,54.0,0.997,3.26,0.65,9.8,5,Raiz
3,11.2,1.9,17.0,60.0,0.998,3.16,0.58,9.8,6,Momento
4,7.4,1.9,11.0,34.0,0.9978,3.51,0.56,9.4,5,Raiz
5,7.4,1.8,13.0,40.0,0.9978,3.51,0.56,9.4,5,Raiz
6,7.9,1.6,15.0,59.0,0.9964,3.3,0.46,9.4,5,Raiz
7,7.3,1.2,15.0,21.0,0.9946,3.39,0.47,10.0,7,Raiz
8,7.8,2.0,9.0,18.0,0.9968,3.36,0.57,9.5,7,Raiz
10,6.7,1.8,15.0,65.0,0.9959,3.28,0.54,9.2,5,Raiz
12,5.6,1.6,16.0,59.0,0.9943,3.58,0.52,9.9,5,Raiz
13,7.8,1.6,9.0,29.0,0.9974,3.26,1.56,9.1,5,Raiz
16,8.5,1.8,35.0,103.0,0.9969,3.3,0.75,10.5,7,Raiz
19,7.9,1.8,17.0,56.0,0.9969,3.04,1.08,9.2,6,Raiz
21,7.6,2.3,23.0,71.0,0.9982,3.52,0.65,9.7,5,Raiz
22,7.9,1.6,10.0,37.0,0.9966,3.17,0.91,9.5,5,Raiz
23,8.5,2.3,9.0,67.0,0.9968,3.17,0.53,9.4,5,Raiz
24,6.9,2.4,21.0,40.0,0.9968,3.43,0.63,9.7,6,Raiz
25,6.3,1.4,11.0,23.0,0.9955,3.34,0.56,9.3,5,Raiz
26,7.6,1.8,4.0,11.0,0.9962,3.28,0.59,9.5,5,Raiz
28,7.1,1.9,14.0,35.0,0.9972,3.47,0.55,9.4,5,Raiz
29,7.8,2.0,8.0,16.0,0.9964,3.38,0.59,9.8,6,Raiz
30,6.7,2.4,17.0,82.0,0.9958,3.35,0.54,10.1,5,Raiz
32,8.3,2.3,15.0,113.0,0.9966,3.17,0.66,9.8,5,Raiz
34,5.2,1.8,13.0,50.0,0.9957,3.38,0.55,9.2,5,Raiz
35,7.8,5.5,5.0,18.0,0.9986,3.4,0.55,9.6,6,Momento
36,7.8,2.4,3.0,15.0,0.9975,3.42,0.6,10.8,6,Raiz
37,8.1,2.1,13.0,30.0,0.9968,3.23,0.73,9.7,7,Raiz
40,7.3,5.9,12.0,87.0,0.9978,3.33,0.83,10.5,5,Momento
41,8.8,2.8,17.0,46.0,0.9976,3.26,0.51,9.3,4,Raiz
42,7.5,2.6,8.0,14.0,0.9968,3.21,0.9,10.5,6,Raiz
43,8.1,2.2,9.0,23.0,0.9968,3.3,1.2,10.3,5,Raiz
45,4.6,2.1,8.0,65.0,0.9934,3.9,0.56,13.1,4,Grande Século
46,7.7,2.2,22.0,114.0,0.997,3.25,0.73,9.2,5,Raiz
50,8.8,1.7,4.0,23.0,0.9971,3.15,0.74,9.2,5,Raiz
51,6.6,2.2,8.0,15.0,0.9956,3.4,0.63,9.4,6,Raiz
52,6.6,2.1,6.0,14.0,0.9955,3.39,0.64,9.4,6,Raiz
53,8.6,3.0,30.0,119.0,0.997,3.2,0.56,9.4,5,Raiz
54,7.6,2.8,33.0,73.0,0.9955,3.17,0.63,10.2,6,Raiz
56,10.2,3.4,4.0,10.0,0.9971,3.04,0.63,9.6,5,Momento
58,7.8,2.3,17.0,54.0,0.9975,3.43,0.59,10.0,5,Raiz
59,7.3,2.4,9.0,46.0,0.9962,3.41,0.54,9.4,6,Raiz
60,8.8,2.2,19.0,52.0,0.998,3.44,0.64,9.2,5,Raiz
61,7.7,1.8,20.0,112.0,0.9968,3.21,0.71,9.3,5,Raiz
63,7.0,2.0,13.0,54.0,0.9966,3.39,0.57,9.8,5,Raiz
64,7.2,4.65,4.0,11.0,0.9962,3.41,0.39,10.9,5,Grande Século
65,7.2,4.65,4.0,11.0,0.9962,3.41,0.39,10.9,5,Grande Século
67,6.6,1.6,6.0,15.0,0.9962,3.44,0.58,10.7,5,Raiz
69,8.0,1.9,8.0,19.0,0.9962,3.34,0.95,10.5,6,Raiz
72,7.7,1.9,18.0,94.0,0.9961,3.31,0.48,9.5,5,Raiz
73,8.3,2.1,11.0,43.0,0.9976,3.31,0.53,9.2,4,Raiz
76,8.8,2.2,9.0,42.0,0.9986,3.54,0.66,10.5,5,Raiz
77,6.8,2.4,14.0,30.0,0.9966,3.52,0.55,10.7,6,Raiz
78,6.7,2.0,12.0,80.0,0.9958,3.38,0.52,10.1,5,Raiz
79,8.3,1.5,27.0,119.0,0.9972,3.16,1.12,9.1,4,Raiz
80,6.2,1.6,3.0,15.0,0.9958,3.41,0.56,9.2,5,Raiz
82,7.4,2.0,21.0,73.0,0.997,3.36,0.57,9.1,5,Raiz
84,6.3,1.8,18.0,61.0,0.9959,3.44,0.78,10.3,6,Raiz
85,6.9,2.2,19.0,40.0,0.9961,3.41,0.59,10.1,5,Raiz
86,8.6,1.9,20.0,136.0,0.9972,2.93,1.95,9.9,6,Raiz
87,7.7,1.9,9.0,31.0,0.9966,3.39,0.64,9.6,5,Raiz
88,9.3,2.1,34.0,125.0,0.9978,3.14,1.22,9.5,5,Raiz
89,7.0,1.8,8.0,24.0,0.9978,3.48,0.53,9.0,5,Raiz
90,7.9,1.9,42.0,140.0,0.9964,3.23,0.54,9.5,5,Raiz
91,8.6,1.9,20.0,136.0,0.9972,2.93,1.95,9.9,6,Raiz
93,7.7,1.9,9.0,31.0,0.9966,3.39,0.64,9.6,5,Raiz
